iter	RMSE
0	1.830652701
1	1.782155668
2	1.738151314
3	1.696562679
4	1.658447917
5	1.622488084
6	1.588862683
7	1.557600353
8	1.529599971
9	1.503178844
10	1.478118946
11	1.456578427
12	1.435322514
13	1.415972642
14	1.398627598
15	1.382060937
16	1.36732297
17	1.353264033
18	1.340303022
19	1.327878857
20	1.315921782
21	1.305624955
22	1.297548682
23	1.288836804
24	1.281269034
25	1.275343599
26	1.268850322
27	1.263751936
28	1.258056755
29	1.252302283
30	1.247108694
31	1.242983372
32	1.238929764
33	1.234983621
34	1.230986328
35	1.227552728
36	1.224619752
37	1.221821904
38	1.219673333
39	1.217356541
40	1.21474842
41	1.212280902
42	1.209649651
43	1.207808841
44	1.205841802
45	1.204066325
46	1.202929261
47	1.201327979
48	1.199564679
49	1.198660808
50	1.197831419
51	1.196480185
52	1.195064745
53	1.193760814
54	1.192764707
55	1.192162939
56	1.191740531
57	1.191317321
58	1.190935692
59	1.190373825
60	1.189738651
61	1.18913782
62	1.188308539
63	1.187437385
64	1.186760647
65	1.185883803
66	1.185253325
67	1.184783275
68	1.184085254
69	1.183789038
70	1.183159275
71	1.182346852
72	1.181778512
73	1.181122748
74	1.180860148
75	1.180555115
76	1.180130052
77	1.179888439
78	1.179789472
79	1.179387329
80	1.179313514
81	1.17919324
82	1.178695648
83	1.17835475
84	1.17794704
85	1.177748526
86	1.177368946
87	1.177207674
88	1.176751959
89	1.17659954
90	1.176431495
91	1.1759755
92	1.175881568
93	1.175244167
94	1.175240776
95	1.175165021
96	1.175010966
97	1.174957126
98	1.174650608
99	1.174554828
100	1.174328733
101	1.174265355
102	1.174148504
103	1.174021079
104	1.173956676
105	1.173874329
106	1.173735197
107	1.173526986
108	1.173210331
109	1.173076931
110	1.172721073
111	1.172695614
112	1.17245515
113	1.172311595
114	1.172292986
115	1.172242151
116	1.172188576
117	1.172186842
118	1.172039566
119	1.171987124
120	1.171729136
121	1.171211734
122	1.171169851
123	1.171169633
124	1.171014315
125	1.170789829
126	1.170456009
127	1.170195732
128	1.170120712
129	1.17009824
130	1.169698127
131	1.169649263
132	1.169553628
133	1.169452301
134	1.169151459
135	1.168974353
136	1.168974346
137	1.16895357
138	1.168929321
139	1.168518827
140	1.168443086
141	1.168395057
142	1.16839441
143	1.168270587
144	1.168241109
145	1.167997713
146	1.167765267
147	1.167765263
148	1.167577189
149	1.167575319
150	1.167452649
151	1.167254391
152	1.167057438
153	1.166949042
154	1.166669403
155	1.166553963
156	1.166343106
157	1.166235661
158	1.166139683
159	1.165567326
160	1.16556732
161	1.165445427
162	1.165212533
163	1.165011192
164	1.165010525
165	1.164867648
166	1.164389748
167	1.164307161
168	1.16402462
169	1.163986189
170	1.163850087
171	1.163691416
172	1.163607767
173	1.163538999
174	1.163538372
175	1.163499876
176	1.163438288
177	1.163322797
178	1.163143303
179	1.162926223
180	1.162732237
181	1.162622241
182	1.16253572
183	1.162377003
184	1.162355421
185	1.162339308
186	1.161924124
187	1.161812486
188	1.161746037
189	1.161611288
190	1.16135821
191	1.161232321
192	1.161048537
193	1.160918988
194	1.160740244
195	1.160723304
196	1.160236519
197	1.160131427
198	1.159841797
199	1.159600299
200	1.159326824
201	1.159087406
202	1.158930609
203	1.158757405
204	1.158586845
205	1.158399845
206	1.158295172
207	1.157956953
208	1.15770347
209	1.157554753
210	1.157246895
211	1.157110387
212	1.157045155
213	1.156824545
214	1.156636443
215	1.156471363
216	1.156249358
217	1.15608003
218	1.155991975
219	1.155824559
220	1.155694928
221	1.155274864
222	1.155132725
223	1.154885209
224	1.154630527
225	1.154355006
226	1.154208927
227	1.154135247
228	1.154133731
229	1.154022033
230	1.153882062
231	1.153678528
232	1.153555798
233	1.153431698
234	1.153177322
235	1.153071848
236	1.152922311
237	1.15292152
238	1.152586185
239	1.152484043
240	1.152284306
241	1.152170606
242	1.152076248
243	1.151981411
244	1.151894124
245	1.151798758
246	1.151653678
247	1.151518709
248	1.151463481
249	1.15135923
250	1.151273399
251	1.151211542
252	1.151079764
253	1.15092109
254	1.150920329
255	1.150764672
256	1.150704327
257	1.150611295
258	1.150359611
259	1.149982102
260	1.149791947
261	1.149773294
262	1.149393641
263	1.149251626
264	1.149169979
265	1.149153525
266	1.149075806
267	1.148995408
268	1.148914853
269	1.14880581
270	1.148805398
271	1.14856856
272	1.148346133
273	1.148300774
274	1.148187013
275	1.148038549
276	1.147653722
277	1.147402468
278	1.147311482
279	1.147223979
280	1.147070057
281	1.147069778
282	1.146704601
283	1.146694519
284	1.146589116
285	1.146469643
286	1.146265504
287	1.146241553
288	1.146241251
289	1.146213477
290	1.146180338
291	1.146094235
292	1.14603106
293	1.14589401
294	1.145874859
295	1.145850976
296	1.145633284
297	1.145449406
298	1.145449197
299	1.145392884
300	1.14530935
301	1.145206277
302	1.145114613
303	1.145031071
304	1.144935241
305	1.144805959
306	1.144737882
307	1.144552254
308	1.144305934
309	1.14425901
310	1.144231228
311	1.143743093
312	1.143633259
313	1.143472841
314	1.143457928
315	1.143386533
316	1.143313229
317	1.143219584
318	1.143144431
319	1.14284136
320	1.142802189
321	1.142444474
322	1.142308451
323	1.142245707
324	1.141966649
325	1.141893564
326	1.14163673
327	1.141622939
328	1.141538571
329	1.141220323
330	1.140915746
331	1.140844528
332	1.140766118
333	1.140493626
334	1.140310523
335	1.140169706
336	1.140103644
337	1.139657346
338	1.139437707
339	1.139180541
340	1.139121169
341	1.139060302
342	1.138887798
343	1.13873669
344	1.138670048
345	1.138615478
346	1.138501521
347	1.138488192
348	1.13845728
349	1.13838758
350	1.138275571
351	1.138207231
352	1.138191159
353	1.138052365
354	1.1379845
355	1.137728441
356	1.137581471
357	1.137522263
358	1.137516429
359	1.137490286
360	1.137376779
361	1.137370466
362	1.137296618
363	1.13727612
364	1.13714085
365	1.137073322
366	1.137017377
367	1.136924565
368	1.136712469
369	1.136658375
370	1.136490404
371	1.136427103
372	1.136375144
373	1.136263756
374	1.136235407
375	1.136210214
376	1.13589794
377	1.135667682
378	1.135257714
379	1.135243267
380	1.135224151
381	1.135050684
382	1.135043951
383	1.134633502
384	1.134545377
385	1.134438555
386	1.134353309
387	1.134155022
388	1.134131308
389	1.133989348
390	1.133885513
391	1.133829129
392	1.133754181
393	1.133666152
394	1.133539279
395	1.133342058
396	1.133328795
397	1.133202081
398	1.133085629
399	1.133068699
400	1.132945305
401	1.132798788
402	1.132724074
403	1.132661068
404	1.132613111
405	1.132451676
406	1.132218164
407	1.13215314
408	1.131861978
409	1.131737104
410	1.131529316
411	1.131096618
