iter	Passed	Remaining
0	30	21454
1	86	30301
2	133	31122
3	180	31403
4	217	30183
5	254	29484
6	306	30319
7	354	30649
8	389	29894
9	435	30035
10	490	30752
11	531	30490
12	587	31058
13	664	32567
14	719	32850
15	756	32338
16	820	32945
17	901	34152
18	1004	35998
19	1082	36789
20	1144	37011
21	1216	37486
22	1242	36586
23	1311	36939
24	1344	36313
25	1363	35348
26	1385	34535
27	1409	33830
28	1438	33275
29	1503	33575
30	1570	33882
31	1608	33571
32	1649	33334
33	1707	33443
34	1770	33631
35	1823	33626
36	1879	33686
37	1935	33715
38	1957	33174
39	2001	33021
40	2055	33041
41	2098	32880
42	2148	32830
43	2197	32757
44	2247	32708
45	2283	32463
46	2308	32079
47	2365	32129
48	2423	32201
49	2450	31858
50	2486	31644
51	2530	31538
52	2593	31656
53	2640	31589
54	2677	31396
55	2713	31210
56	2733	30841
57	2763	30590
58	2778	30192
59	2801	29878
60	2820	29549
61	2851	29347
62	2910	29423
63	2968	29502
64	3026	29567
65	3083	29623
66	3124	29522
67	3184	29595
68	3249	29712
69	3276	29485
70	3331	29515
71	3391	29578
72	3444	29586
73	3503	29636
74	3551	29597
75	3581	29404
76	3629	29366
77	3672	29288
78	3697	29061
79	3750	29065
80	3764	28768
81	3792	28579
82	3852	28637
83	3910	28673
84	3976	28770
85	4037	28822
86	4089	28817
87	4139	28785
88	4188	28753
89	4220	28608
90	4267	28558
91	4318	28538
92	4346	28367
93	4397	28346
94	4410	28089
95	4423	27829
96	4448	27655
97	4463	27421
98	4520	27443
99	4547	27284
100	4586	27199
101	4610	27027
102	4637	26880
103	4675	26795
104	4716	26726
105	4738	26552
106	4796	26581
107	4857	26628
108	4916	26658
109	4971	26662
110	5027	26677
111	5062	26577
112	5128	26639
113	5226	26863
114	5268	26802
115	5296	26666
116	5363	26725
117	5389	26583
118	5452	26619
119	5486	26516
120	5572	26663
121	5659	26812
122	5696	26723
123	5714	26546
124	5805	26706
125	5878	26778
126	5950	26846
127	6033	26963
128	6086	26941
129	6127	26867
130	6187	26874
131	6226	26792
132	6252	26654
133	6314	26671
134	6378	26694
135	6442	26716
136	6452	26515
137	6476	26376
138	6527	26344
139	6596	26386
140	6657	26394
141	6686	26274
142	6702	26108
143	6768	26135
144	6812	26076
145	6874	26084
146	6942	26115
147	6952	25930
148	7004	25903
149	7032	25785
150	7100	25814
151	7142	25750
152	7203	25754
153	7266	25764
154	7323	25750
155	7393	25781
156	7470	25836
157	7534	25844
158	7597	25849
159	7690	25954
160	7715	25831
161	7763	25783
162	7820	25765
163	7877	25747
164	7911	25653
165	7969	25637
166	8033	25640
167	8093	25628
168	8153	25618
169	8212	25604
170	8262	25561
171	8311	25514
172	8370	25499
173	8434	25496
174	8448	25346
175	8501	25310
176	8545	25251
177	8587	25182
178	8633	25129
179	8682	25081
180	8730	25032
181	8781	24994
182	8838	24970
183	8893	24941
184	8941	24890
185	8980	24817
186	9033	24780
187	9064	24686
188	9117	24651
189	9173	24622
190	9227	24590
191	9281	24557
192	9333	24519
193	9378	24461
194	9430	24423
195	9475	24364
196	9539	24356
197	9590	24316
198	9645	24282
199	9700	24250
200	9753	24213
201	9806	24177
202	9862	24147
203	9921	24122
204	9980	24098
205	10034	24063
206	10089	24028
207	10157	24025
208	10241	24059
209	10297	24026
210	10348	23983
211	10418	23981
212	10473	23946
213	10528	23911
214	10595	23900
215	10672	23914
216	10735	23894
217	10790	23857
218	10843	23816
219	10896	23774
220	10947	23728
221	11001	23687
222	11052	23642
223	11103	23594
224	11170	23581
225	11225	23544
226	11283	23510
227	11338	23472
228	11359	23363
229	11410	23316
230	11462	23271
231	11514	23228
232	11570	23190
233	11626	23153
234	11681	23113
235	11734	23072
236	11793	23039
237	11807	22920
238	11861	22878
239	11915	22838
240	11970	22798
241	12019	22748
242	12069	22698
243	12121	22652
244	12179	22619
245	12242	22594
246	12328	22610
247	12410	22618
248	12473	22592
249	12545	22582
250	12608	22555
251	12691	22562
252	12780	22580
253	12841	22549
254	12860	22442
255	12945	22452
256	13013	22432
257	13071	22394
258	13133	22362
259	13196	22333
260	13258	22301
261	13316	22262
262	13376	22226
263	13442	22200
264	13497	22155
265	13551	22109
266	13608	22068
267	13666	22030
268	13730	21999
269	13788	21958
270	13802	21849
271	13862	21813
272	13918	21769
273	13970	21719
274	14022	21671
275	14076	21624
276	14130	21577
277	14195	21548
278	14246	21497
279	14297	21445
280	14348	21395
281	14362	21289
282	14415	21241
283	14473	21201
284	14534	21163
285	14593	21125
286	14653	21086
287	14711	21045
288	14726	20942
289	14786	20904
290	14859	20885
291	14920	20848
292	14979	20808
293	15040	20770
294	15098	20728
295	15157	20688
296	15218	20650
297	15277	20609
298	15293	20510
299	15353	20470
300	15421	20443
301	15486	20409
302	15550	20374
303	15614	20340
304	15677	20303
305	15741	20268
306	15808	20236
307	15868	20196
308	15927	20154
309	15987	20113
310	16048	20073
311	16108	20031
312	16169	19992
313	16230	19952
314	16289	19909
315	16351	19870
316	16412	19829
317	16473	19789
318	16533	19747
319	16608	19722
320	16676	19689
321	16777	19695
322	16840	19655
323	16896	19608
324	16953	19561
325	17013	19518
326	17079	19481
327	17135	19434
328	17192	19386
329	17244	19335
330	17304	19290
331	17357	19240
332	17412	19190
333	17465	19139
334	17518	19087
335	17572	19036
336	17623	18983
337	17676	18932
338	17730	18881
339	17786	18832
340	17841	18782
341	17893	18730
342	17947	18679
343	17999	18627
344	18054	18577
345	18106	18525
346	18157	18471
347	18205	18415
348	18259	18364
349	18310	18310
350	18362	18257
351	18420	18211
352	18476	18162
353	18537	18118
354	18596	18072
355	18659	18030
356	18719	17985
357	18780	17940
358	18839	17895
359	18898	17848
360	18956	17801
361	19019	17758
362	19081	17714
363	19139	17667
364	19201	17623
365	19261	17577
366	19311	17522
367	19364	17470
368	19415	17415
369	19463	17359
370	19512	17303
371	19561	17247
372	19612	17193
373	19667	17142
374	19717	17088
375	19777	17042
376	19871	17025
377	19951	16995
378	20008	16946
379	20063	16895
380	20148	16869
381	20213	16826
382	20282	16787
383	20346	16743
384	20411	16700
385	20472	16654
386	20547	16618
387	20621	16582
388	20702	16551
389	20772	16511
390	20835	16465
391	20905	16425
392	20965	16378
393	21037	16338
394	21116	16305
395	21201	16276
396	21268	16232
397	21336	16190
398	21427	16164
399	21527	16145
400	21606	16110
401	21658	16055
402	21708	15998
403	21766	15947
404	21838	15907
405	21913	15868
406	21992	15832
407	22055	15784
408	22123	15740
409	22189	15695
410	22265	15656
411	22330	15609
412	22394	15562
413	22456	15513
414	22520	15465
415	22577	15413
416	22638	15363
417	22707	15319
418	22769	15270
419	22835	15223
420	22903	15178
421	22971	15132
422	23022	15076
423	23051	15004
424	23106	14951
425	23156	14894
426	23212	14840
427	23266	14786
428	23318	14730
429	23370	14674
430	23425	14620
431	23478	14565
432	23532	14510
433	23590	14458
434	23651	14408
435	23687	14342
436	23761	14300
437	23817	14247
438	23875	14194
439	23932	14142
440	23988	14088
441	24043	14034
442	24099	13981
443	24153	13926
444	24207	13871
445	24261	13817
446	24313	13761
447	24364	13704
448	24415	13648
449	24471	13595
450	24527	13541
451	24589	13491
452	24655	13443
453	24724	13396
454	24798	13353
455	24867	13306
456	24933	13257
457	25001	13210
458	25067	13161
459	25126	13109
460	25186	13057
461	25241	13003
462	25304	12952
463	25360	12898
464	25410	12841
465	25464	12786
466	25516	12730
467	25570	12676
468	25621	12619
469	25677	12565
470	25731	12510
471	25784	12455
472	25841	12401
473	25895	12347
474	25950	12292
475	26003	12236
476	26051	12179
477	26106	12124
478	26161	12070
479	26215	12015
480	26279	11964
481	26338	11912
482	26400	11861
483	26452	11805
484	26504	11749
485	26555	11693
486	26620	11642
487	26685	11592
488	26752	11543
489	26814	11491
490	26890	11446
491	26964	11399
492	27020	11345
493	27080	11292
494	27150	11244
495	27219	11195
496	27281	11143
497	27345	11091
498	27432	11049
499	27510	11004
500	27579	10954
501	27644	10903
502	27715	10854
503	27780	10803
504	27850	10754
505	27907	10699
506	27988	10654
507	28059	10605
508	28132	10556
509	28202	10506
510	28268	10455
511	28330	10402
512	28391	10349
513	28443	10292
514	28499	10237
515	28562	10185
516	28625	10132
517	28684	10078
518	28744	10024
519	28803	9970
520	28896	9928
521	28962	9876
522	29017	9820
523	29073	9765
524	29132	9710
525	29198	9658
526	29256	9604
527	29317	9550
528	29382	9498
529	29444	9444
530	29502	9389
531	29563	9335
532	29623	9281
533	29685	9228
534	29746	9174
535	29807	9120
536	29880	9069
537	29939	9015
538	30000	8961
539	30059	8906
540	30119	8852
541	30183	8798
542	30244	8744
543	30309	8691
544	30368	8636
545	30434	8583
546	30495	8529
547	30558	8476
548	30620	8422
549	30677	8366
550	30737	8311
551	30795	8256
552	30852	8201
553	30912	8146
554	30973	8092
555	31043	8039
556	31101	7984
557	31152	7927
558	31206	7871
559	31262	7815
560	31351	7768
561	31426	7716
562	31488	7662
563	31551	7608
564	31616	7554
565	31679	7500
566	31742	7445
567	31803	7390
568	31866	7336
569	31929	7282
570	31996	7228
571	32058	7173
572	32120	7119
