location1,flat_price
Agripada,4.133
Andheri East,2.2161333333333335
Andheri West,4.144381720430108
Bandra East,4.503714285714286
Bandra West,6.782551020408164
Bhandup East,1.564
Bhandup West,1.9245374449339208
Bhayandar East,0.8403125
Bhayandar West,1.1675
Boisar,0.335
Borivali East,2.8782242990654208
Borivali West,1.880631970260223
Byculla,5.223076923076923
Chembur,2.594989247311828
Churchgate,7.0
Colaba,5.819285714285714
Cuffe Parade,7.007142857142857
Cumballa Hill,10.42375
Dadar East,5.365277777777778
Dadar West,4.8990909090909085
Dahisar East,1.1792537313432836
Dahisar West,1.6523913043478262
Ghatkopar East,2.0111940298507465
Ghatkopar West,2.650857142857143
Girgaon,6.1000000000000005
Goregaon East,2.8356846473029043
Goregaon West,2.9560150375939847
Govandi,2.890285714285714
Jogeshwari East,3.1875
Jogeshwari West,1.9316666666666666
Kamathipura,4.486
Kandivali East,1.9578054862842893
Kandivali West,1.5092227979274613
Kanjurmarg East,2.0746153846153845
Kanjurmarg West,2.098235294117647
Khar West,6.800833333333333
Kurla East,1.3323529411764705
Kurla West,1.783809523809524
Lower Parel,6.871875
Madanpura,2.35
Madh,3.13125
Mahalakshmi,6.145454545454545
Mahim,3.9875862068965517
Malabar Hill,9.950769230769232
Malad East,2.607439024390244
Malad West,1.8585714285714285
Marine Lines,5.906666666666666
Matunga East,5.21
Matunga West,4.01
Mazgaon,2.63
Mira Road East,0.9210552763819095
Mulund East,1.7326056338028168
Mulund West,2.4867719298245614
Mumbai Central,4.8
Naigaon East,0.3502072538860104
Nalasopara East,0.42375
Nalasopara West,0.33095238095238094
Palghar,0.17500000000000002
Parel,4.931315789473683
Powai,3.8316666666666666
Prabhadevi,5.7946875
Sakinaka,1.8357142857142856
Santacruz East,2.8601176470588237
Santacruz West,7.788682634730539
Sewri,3.8285714285714287
Sion,3.7945378151260507
Tardeo,9.18125
Thane West,0.8847619047619047
Vasai East,0.4239285714285715
Vasai West,0.7322857142857142
Vikhroli East,2.440384615384615
Vikhroli West,2.404
Vile Parle East,3.5494520547945205
Vile Parle West,5.955384615384616
Virar East,0.27
Virar West,0.4170034843205575
Wadala,4.62156862745098
Wadala East,2.5140217391304347
Worli,8.630666666666666
others,3.843333333333333
